name,description,eatery,calories,proteins,day_of_week
Alo Shimla,A traditional dish made with regional ingredients and spices. (Aalo Shimla),PDC,412,14,Friday
Aloo Ghobi,A traditional dish made with regional ingredients and spices. (Alloo Ghobi),PDC,284,16,Monday
Aloo Baingan,A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo Baingan),PDC,216,15,"Wednesday, Tuesday"
Aloo Palak,A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo Palak),PDC,328,10,Sunday
Aloo anda (takka tak),A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo anda (takka tak)),PDC,237,9,Wednesday
Aloo methi,A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo methi),PDC,397,10,"Tuesday, Thursday"
BBQ Chicken Karahi,"A flavorful chicken-based dish, seasoned with local spices. (BBQ Chicken Karahi)",PDC,411,33,Tuesday
Beef Haleem,"Hearty beef dish, rich in protein and cooked with aromatic herbs. (Beef Haleem)",PDC,497,39,"Monday, Friday"
Beef Pulao,"Hearty beef dish, rich in protein and cooked with aromatic herbs. (Beef Pulao)",PDC,582,33,Friday
Beef chapli kebab,"Hearty beef dish, rich in protein and cooked with aromatic herbs. (Beef chapli kebab)",PDC,445,37,Monday
Beet Root Salsa,A traditional dish made with regional ingredients and spices. (Beet Root Salsa),PDC,401,15,Saturday
Boiled Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Boiled Rice),PDC,491,14,"Tuesday, Friday, Saturday, Sunday"
Boiled/Steamed Qeema,A traditional dish made with regional ingredients and spices. (Boiled/Steamed Qeema),PDC,346,22,"Wednesday, Friday"
Butri Spinach Potato,A traditional dish made with regional ingredients and spices. (Butri Spinach Potato),PDC,411,17,Saturday
Butter Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Butter Rice),PDC,548,17,Sunday
Channa Daal,"A protein-packed lentil preparation, staple in many desi households. (Channa Daal)",PDC,346,15,Wednesday
Channa Masalah,A traditional dish made with regional ingredients and spices. (Channa Masalah),PDC,303,19,Wednesday
Chicken Biryani (sindhi/simple),"A flavorful chicken-based dish, seasoned with local spices. (Chicken  Biryani (sindhi/simple))",PDC,476,34,
Chicken Chargha,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Chargha)",PDC,308,25,Thursday
Chicken Chilli Dry,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Chilli Dry)",PDC,477,33,"Tuesday, Thursday"
Chicken Florenteen,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Florenteen)",PDC,482,31,Tuesday
Chicken Hot Plate,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Hot Plate)",PDC,351,34,Sunday
Chicken Jalfrezi,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Jalfrezi)",PDC,371,29,Sunday
Chicken Palak,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Palak)",PDC,387,35,Wednesday
Chicken Pineapple,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Pineapple)",PDC,316,30,Sunday
Chicken Pulao,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Pulao)",PDC,309,31,"Monday, Saturday"
Chicken Szechuan,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Szechuan)",PDC,325,30,Saturday
Chicken balti Gash,"A flavorful chicken-based dish, seasoned with local spices. (Chicken balti Gash)",PDC,347,34,Sunday
Corn Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Corn Rice),PDC,377,20,Wednesday
Daal Makhni,"A protein-packed lentil preparation, staple in many desi households. (Daal Makhni)",PDC,339,18,Friday
Daal Mash Fry,"A protein-packed lentil preparation, staple in many desi households. (Daal Mash Fry)",PDC,301,13,"Tuesday, Saturday"
Daal maang masoor,"A protein-packed lentil preparation, staple in many desi households. (Daal maang masoor)",PDC,327,13,Thursday
Dall Channa Fry,A traditional dish made with regional ingredients and spices. (Dall Channa Fry),PDC,414,25,Monday
Dall Maang Sabat,A traditional dish made with regional ingredients and spices. (Dall Maang Sabat),PDC,310,21,Sunday
Dall Mong Masoor,A traditional dish made with regional ingredients and spices. (Dall Mong Masoor),PDC,250,10,Monday
