name,description,eatery,calories,proteins,day_of_week
CHICKEN MANDI,Traditional Arabian rice dish with slow-cooked spiced chicken.,Green Olive,420,34,everyday
Chicken Shawarma with Tortilla Bread,Middle Eastern wrap with marinated meat and sauces rolled in tortilla bread.,Green Olive,350,28,everyday
Beef Shawarma Tortilla Bread,Middle Eastern wrap with marinated meat and sauces rolled in tortilla bread.,Green Olive,350,30,everyday
Falafel Shawarma Tortilla Bread,Middle Eastern wrap with marinated meat and sauces rolled in tortilla bread.,Green Olive,220,10,everyday
Kabab Shawarma Tortilla Bread,Middle Eastern wrap with marinated meat and sauces rolled in tortilla bread.,Green Olive,300,26,everyday
Shish Taouk Shawarma Tortilla Bread,Middle Eastern wrap with marinated meat and sauces rolled in tortilla bread.,Green Olive,400,33,everyday
BEEF GYRO RICE,Rice platter served with spiced meat salad and sauce – Greek-inspired.,Green Olive,400,34,everyday
CHICKEN GYRO RICE,Rice platter served with spiced meat salad and sauce – Greek-inspired.,Green Olive,380,32,everyday
SHESHTOUK GYRO RICE,Rice platter served with spiced meat salad and sauce – Greek-inspired.,Green Olive,450,35,everyday
Shishtaouk Gyro Rice,Rice platter served with spiced meat salad and sauce – Greek-inspired.,Green Olive,450,36,everyday
SPECIAL KABAB PLATTER,Grilled meat platter served with sauces and sides rich in flavor.,Green Olive,550,42,everyday
SPECIAL SHAWARMA PLATTER,Grilled meat platter served with sauces and sides rich in flavor.,Green Olive,550,40,everyday
SPECIAL SHESHTOUK PLATTER,Grilled meat platter served with sauces and sides rich in flavor.,Green Olive,600,45,everyday
LEBANESE BEEF BURGER,Lebanese-style burger with meat patty vegetables and signature sauces.,Green Olive,400,26,everyday
LEBANESE CHICKEN BURGER,Lebanese-style burger with meat patty vegetables and signature sauces.,Green Olive,350,24,everyday
Hummus,Creamy chickpea dip blended with tahini and olive oil.,Green Olive,200,8,everyday
Hummus Chicken,Creamy chickpea dip blended with tahini and olive oil. Optionally served with chicken.,Green Olive,280,18,everyday
Fattoush Salad,Fresh and crunchy salad with Mediterranean herbs and lemon dressing.,Green Olive,250,7,everyday
Arabian Green Salad,Fresh and crunchy salad with Mediterranean herbs and lemon dressing.,Green Olive,250,6,everyday
Falafel 4p,Crispy fried patties made from chickpeas herbs and spices.,Green Olive,200,9,everyday
Manakish Bi Leham,Flatbread topped with spiced minced meat baked in a traditional oven.,Green Olive,240,12,everyday
Arabian Brownie,Rich chocolate dessert with a fudgy interior and crisp top.,Green Olive,160,3,everyday
BasBousa,Sweet semolina cake soaked in syrup popular in the Middle East.,Green Olive,100,3,everyday
Sulemani Kehwa,Traditional spiced green tea served hot. Aids digestion.,Green Olive,80,0,everyday
Ice Cream (Per-Scoop),Cold creamy dessert available in a variety of flavors.,Green Olive,120,2,everyday
