name,description,eatery,calories,proteins
Aalo Shimla,A traditional dish made with regional ingredients and spices. (Aalo Shimla),PDC,412,14
Alloo Ghobi,A traditional dish made with regional ingredients and spices. (Alloo Ghobi),PDC,284,16
Aloo Baingan,A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo Baingan),PDC,216,15
Aloo Gobi,A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo Gobi),PDC,277,9
Aloo Methi,A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo Methi),PDC,335,14
Aloo Palak,A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo Palak),PDC,328,10
Aloo anda (takka tak),A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo anda (takka tak)),PDC,237,9
Aloo methi,A delicious vegetarian dish combining seasonal vegetables with spices. (Aloo methi),PDC,397,10
BBQ Chicken Karahi,"A flavorful chicken-based dish, seasoned with local spices. (BBQ Chicken Karahi)",PDC,411,33
Beef Haleem,"Hearty beef dish, rich in protein and cooked with aromatic herbs. (Beef Haleem)",PDC,497,39
Beef Pulao,"Hearty beef dish, rich in protein and cooked with aromatic herbs. (Beef Pulao)",PDC,582,33
Beef chapli kebab,"Hearty beef dish, rich in protein and cooked with aromatic herbs. (Beef chapli kebab)",PDC,445,37
Beet Root Salsa,A traditional dish made with regional ingredients and spices. (Beet Root Salsa),PDC,401,15
Boiled Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Boiled Rice),PDC,491,14
Boiled/Steamed Qeema,A traditional dish made with regional ingredients and spices. (Boiled/Steamed Qeema),PDC,346,22
Butri Spinach Potato,A traditional dish made with regional ingredients and spices. (Butri Spinach Potato),PDC,411,17
Butter Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Butter Rice),PDC,548,17
Channa Daal,"A protein-packed lentil preparation, staple in many desi households. (Channa Daal)",PDC,346,15
Channa Masalah,A traditional dish made with regional ingredients and spices. (Channa Masalah),PDC,303,19
Chicken  Biryani (sindhi/simple),"A flavorful chicken-based dish, seasoned with local spices. (Chicken  Biryani (sindhi/simple))",PDC,476,34
Chicken Chargha,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Chargha)",PDC,308,25
Chicken Chilli Dry,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Chilli Dry)",PDC,477,33
Chicken Florenteen,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Florenteen)",PDC,482,31
Chicken Hot Plate,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Hot Plate)",PDC,351,34
Chicken Jalfrezi,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Jalfrezi)",PDC,371,29
Chicken Palak,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Palak)",PDC,387,35
Chicken Pineapple,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Pineapple)",PDC,316,30
Chicken Pulao,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Pulao)",PDC,309,31
Chicken Szechuan,"A flavorful chicken-based dish, seasoned with local spices. (Chicken Szechuan)",PDC,325,30
Chicken balti Gash,"A flavorful chicken-based dish, seasoned with local spices. (Chicken balti Gash)",PDC,347,34
Corn Rice,Aromatic rice dish infused with spices and sometimes paired with meat or vegetables. (Corn Rice),PDC,377,20
Daal Makhni,"A protein-packed lentil preparation, staple in many desi households. (Daal Makhni)",PDC,339,18
Daal Mash Fry,"A protein-packed lentil preparation, staple in many desi households. (Daal Mash Fry)",PDC,301,13
